Speaker,Correct,Total,EPD Score
931915_yylee,57.5,72,79.86111111111111
932008_zylee,121.5,144,84.375
932017_zjye,189.5,216,87.73148148148148
942027_zwxiao,236.5,288,82.11805555555556
9565506_hyzhuang,304.0,360,84.44444444444444
960003_Jens,361.5,432,83.68055555555556
9662613_yhjang,369.5,504,73.31349206349206
Average,0,0,82.2177343159486
