2025-03-12 11:55:19 [INFO] 開始訓練...
2025-03-12 11:55:19 [INFO] 已找到資料集快取 data/dataset_2008_cache.pt，正在載入...
2025-03-12 11:55:34 [INFO] 載入完成：train=159264 筆, test=40320 筆
2025-03-12 11:55:34 [INFO] 載入訓練集，共 159264 筆
2025-03-12 11:59:01 [INFO] Epoch 70, Loss: 0.1964, lr: 0.000039
2025-03-12 11:59:04 [INFO] Epoch 71, Loss: 0.1965, lr: 0.000039
2025-03-12 11:59:07 [INFO] Epoch 72, Loss: 0.1964, lr: 0.000039
2025-03-12 11:59:10 [INFO] Epoch 73, Loss: 0.1964, lr: 0.000039
2025-03-12 11:59:13 [INFO] Epoch 74, Loss: 0.1963, lr: 0.000039
2025-03-12 11:59:16 [INFO] Epoch 75, Loss: 0.1964, lr: 0.000039
2025-03-12 11:59:18 [INFO] Epoch 76, Loss: 0.1964, lr: 0.000039
2025-03-12 11:59:21 [INFO] Epoch 77, Loss: 0.1963, lr: 0.000039
2025-03-12 11:59:24 [INFO] Epoch 78, Loss: 0.1963, lr: 0.000039
2025-03-12 11:59:27 [INFO] Epoch 79, Loss: 0.1964, lr: 0.000039
2025-03-12 11:59:30 [INFO] Epoch 80, Loss: 0.1964, lr: 0.000039
2025-03-12 11:59:33 [INFO] Epoch 81, Loss: 0.1963, lr: 0.000039
2025-03-12 11:59:36 [INFO] Epoch 82, Loss: 0.1963, lr: 0.000039
2025-03-12 11:59:39 [INFO] Epoch 83, Loss: 0.1960, lr: 0.000020
2025-03-12 11:59:42 [INFO] Epoch 84, Loss: 0.1959, lr: 0.000020
2025-03-12 11:59:46 [INFO] Epoch 85, Loss: 0.1960, lr: 0.000020
2025-03-12 11:59:49 [INFO] Epoch 86, Loss: 0.1960, lr: 0.000020
2025-03-12 11:59:52 [INFO] Epoch 87, Loss: 0.1960, lr: 0.000020
2025-03-12 11:59:55 [INFO] Epoch 88, Loss: 0.1960, lr: 0.000020
2025-03-12 11:59:58 [INFO] Epoch 89, Loss: 0.1958, lr: 0.000010
2025-03-12 12:00:01 [INFO] Epoch 90, Loss: 0.1958, lr: 0.000010
2025-03-12 12:00:04 [INFO] Epoch 91, Loss: 0.1958, lr: 0.000010
2025-03-12 12:00:07 [INFO] Epoch 92, Loss: 0.1958, lr: 0.000010
2025-03-12 12:00:10 [INFO] Epoch 93, Loss: 0.1958, lr: 0.000010
2025-03-12 12:00:13 [INFO] Epoch 94, Loss: 0.1957, lr: 0.000005
2025-03-12 12:00:16 [INFO] Epoch 95, Loss: 0.1957, lr: 0.000005
2025-03-12 12:00:19 [INFO] Epoch 96, Loss: 0.1957, lr: 0.000005
2025-03-12 12:00:22 [INFO] Epoch 97, Loss: 0.1957, lr: 0.000005
2025-03-12 12:00:25 [INFO] Epoch 98, Loss: 0.1957, lr: 0.000005
2025-03-12 12:00:28 [INFO] Epoch 99, Loss: 0.1957, lr: 0.000005
2025-03-12 12:00:31 [INFO] Epoch 100, Loss: 0.1957, lr: 0.000005
2025-03-12 12:00:31 [INFO] 訓練結束
